ptbr,es
Administração Pública,Administración Pública
Agropecuária,Agricultura
Alimentação,Alimentación
Arte e Cultura,Arte y Cultura
"Atividade industrial, de comércio ou serviços","Actividades industriales, comerciales o de servicios"
Ciência e Tecnologia,Ciencia y Tecnología
Comunicações,Comunicaciones
Consumo,Consumo
Dados demográficos,Datos demográficos
Defesa,Defensa
Direito e Processual Penal,Derecho y Procedimiento Penal
Direitos Humanos,Derechos Humanos
Economia,Economía
Educação,Educación
Energia,Energía
Esporte,Deporte
Finanças e Orçamento Público,Finanzas y Presupuesto Público
Gênero e Raça,Género y raza
"Imóveis, Habitação e Urbanismo","Inmobiliario, Vivienda y Urbanismo"
Justiça e Direito,Justicia y Derecho
Lazer,Entretenimiento
Meio Ambiente,Medio Ambiente
Multimídia,Multimedia
"Política, Partidos e Eleições","Política, Partidos, y Elecciones"
Previdência e Assistência Social,Bienestar y Asistencia Social
Processo Legislativo,Proceso Legislativo
Recursos hídricos,Recursos hídricos
Recursos minerais,Recursos minerales
Redes Sociais,Redes Sociales
Relações Internacionais,Relaciones Internacionales
Religião,Religión
Saúde,Salud
Segurança,Seguridad
Terras,Tierra
Trabalho e Emprego,Trabajo y Empleo
Transparência,Transparencia
Transporte,Transporte
Turismo,Turismo
"Agricultura, extrativismo e pesca","Agricultura, Extractivismo y Pesca"
Assistência e Desenvolvimento Social,Asistencia y Desarrollo Social
"Ciência, Informação e Comunicação","Ciencia, Información y Comunicación"
"Comércio, Serviços e Turismo","Comercio, Servicios y Turismo"
"Cultura, Lazer e Esporte","Cultura, Entretenimiento y Deporte"
Dados Estratégicos,Datos Estratégicos
Defesa e Segurança,Defensa y Seguridad
Economia e Finanças,Economía y Finanzas
Equipamentos Públicos,Equipamiento Público
Geografia,Geografía
Governo e Política,Gobierno y Política
"Habitação, Saneamento e Urbanismo","Vivienda, Saneamiento y Urbanismo"
Indústria,Industria
Justiça e Legislação,Justicia y Legislación
Plano Plurianual,Plan Plurianual
Trabalho,Trabajo
Transportes e Trânsito,Transporte y Tráfico
Não se aplica,No aplica
Mundial,Mundial
Afeganistão,Afganistán
África do Sul,Sudáfrica
Albânia,Albania
Alemanha,Alemania
Andorra,Andorra
Angola,Angola
Anguila,Anguila
Antártica,Antártida
Antígua e Barbuda,Antigua y Barbuda
Arábia Saudita,Arabia Saudita
Argélia,Argelia
Argentina,Argentina
Armênia,Armenia
Aruba,Aruba
Austrália,Australia
Áustria,Austria
Azerbaijão,Azerbaiyán
Bahamas,Bahamas
Bahrein,Baréin
Bangladesh,Bangladés
Barbados,Barbados
Bélgica,Bélgica
Belize,Belice
Benim,Benín
Bermudas,Bermudas
Bielorrússia,Bielorrusia
Bolívia,Bolivia
Bósnia e Herzegovina,Bosnia y Herzegovina
Botswana,Botsuana
Brasil,Brasil
Brunei,Brunéi
Bulgária,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Butão,Bután
Cabo Verde,Cabo Verde
Camarões,Camerún
Camboja,Camboya
Canadá,Canadá
Catar,Catar
Cazaquistão,Kazajstán
Chade,Chad
Chile,Chile
China,China
Chipre,Chipre
Cingapura,Singapur
Colômbia,Colombia
Comores,Comoras
Coreia do Norte,Corea del Norte
Coreia do Sul,Corea del Sur
Costa Rica,Costa Rica
Costa do Marfim,Costa de Marfil
Croácia,Croacia
Cuba,Cuba
Curaçao,Curazao
Dinamarca,Dinamarca
Djibouti,Yibuti
Dominica,Dominica
Egito,Egipto
El Salvador,El Salvador
Emirados Árabes Unidos,Emiratos Árabes Unidos
Equador,Ecuador
Eritreia,Eritrea
Eslováquia,Eslovaquia
Eslovênia,Eslovenia
Espanha,España
Estados Federados da Micronésia,Estados Federados de Micronesia
Estados Unidos,Estados Unidos de América
Estônia,Estonia
Etiópia,Etiopía
Fiji,Fiyi
Filipinas,Filipinas
Finlândia,Finlandia
França,Francia
Gabão,Gabón
Gâmbia,Gambia
Gana,Ghana
Geórgia,Georgia
Gibraltar,Gibraltar
Granada,Granada
Grécia,Grecia
Groenlândia,Groenlandia
Guadalupe,Guadalupe
Guam,Guam
Guatemala,Guatemala
Guernsey,Guernsey
Guiana,Guyana
Guiana Francesa,Guayana Francesa
Guiné,Guinea
Guiné Equatorial,Guinea Ecuatorial
Guiné-Bissau,Guinea-Bisáu
Haiti,Haití
Holanda,Países Bajos
Honduras,Honduras
Hong Kong,Hong Kong
Hungria,Hungría
Iémen,Yemen
Ilha Bouvet,Isla Bouvet
Ilha Christmas,Isla de Navidad
Ilha Heard e Ilhas McDonald,Islas Heard y McDonald
