name;url;description;pub_date;authors;cobertura-geografica;countries;federatives;cities;email;type_artigo;type_materia_jornalistica;type_aplicativo_plataforma;type_painel;type_conjunto_de_dados;type_inteligencia_artificial;type_estudo;type_bot;type_outro;topics_agricultura_extrativismo_pesca;topics_assistencia_desenvolvimento_social;topics_ciencia_informacao_comunicacao;topics_comercio_servicos_turismo;topics_cultura_lazer_esporte;topics_dados_estrategicos;topics_defesa_seguranca;topics_economia_financas;topics_educacao;topics_energia;topics_equipamentos_publicos;topics_geografia;topics_governo_politica;topics_habitacao_saneamento_urbanismo;topics_industria;topics_justica_legislacao;topics_meio_ambiente;topics_plano_plurianual;topics_relacoes_internacionais;topics_saude;topics_trabalho;topics_transportes_transito;tags;url_source;url_image;data_name;data_institution;data_url;data_periodical;continuar;data_name_2;data_institution_2;data_url_2;data_periodical_2;segunda_repeticao;data_name_3;data_institution_3;data_url_3;data_periodical_3;terceira_repeticao;data_name_4;data_institution_4;data_url_4;data_periodical_4;quarta_repeticao;data_name_5;data_institution_5;data_url_5;data_periodical_5;quinta_repeticao;data_name_6;data_institution_6;data_url_6;data_periodical_6;sexta_repeticao;data_name_7;data_institution_7;data_url_7;data_periodical_7;setima_repeticao;data_name_8;data_institution_8;data_url_8;data_periodical_8;oitava_repeticao;data_name_9;data_institution_9;data_url_9;data_periodical_9;nona_repeticao;data_name_10;data_institution_10;data_url_10;data_periodical_10;comment
Monitor do coronavírus;https://lagomdata.com.br/coronavirus/;Um website com diversos gráficos interativos a respeito dos casos, mortes e vacinações referentes à pandemia de Covid-19. Durante a pandemia, os dados eram atualizados diariamente.;03/2020;"Marcelo Soares; Lagom Data";;Brasil;;;marcelo@lagomdata.com.br;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;pandemia, coronavírus, covid-19, vacinação, vacina;https://;https://public.flourish.studio/uploads/6735df4f-380c-4416-a97a-82e4e0923aeb.png;Microdados do Sivep-Gripe 2020;SUS;https://opendatasus.saude.gov.br/dataset/srag-2020;1;1;Microdados do Sivep-Gripe 2021;SUS;https://opendatasus.saude.gov.br/dataset/srag-2021-a-2023;1;1;Mortes por COVID-19;Secretarias Estaduais de Saúde;https://;1;1;Vacinação contra a COVID-19;SUS;https://opendatasus.saude.gov.br/dataset/covid-19-vacinacao;1;1;Projeção da população;IBGE;https://www.ibge.gov.br/estatisticas/sociais/populacao/9109-projecao-da-populacao.html;2;;;;;;;;;;;;;;;;;;;;;;;;;;Caso de uso não foi relatado pelo autor.
Mapa das Terras dos Parlamentares;https://deolhonosruralistas.com.br/2019/05/12/mapa-das-terras-dos-parlamentares-mostra-que-congressistas-acumulam-fazendas-na-amazonia-e-no-matopiba;"Um mapa que localiza, por município, as propriedades rurais declaradas por deputados e senadores; a primeira reportagem de série sobre a bancada ruralista aponta latifúndios de congressistas nas fronteiras agrícolas.";05/2019;"Leonardo Fuhrmann; De Olho nos Ruralistas";;Brasil;;;deolhonosruralistas@gmail.com;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"latifúndios; ruralistas; parlamentares; congresso nacional; deputados; senadores; agronegócio; política";https://;https://deolhonosruralistas.com.br/wp-content/uploads/2016/08/DEOLHO_horizontal-slogan.png;Candidatos e bens declarados - 2018;TSE;https://dadosabertos.tse.jus.br/dataset/candidatos-2018;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Caso não foi informado pelo autor.
Amazônia Minada;https://infoamazonia.org/project/amazonia-minada/;Amazônia Minada é uma ferramenta que mostra os processos minerários na Amazônia brasileira que nunca poderiam ter sido registrados. O projeto analisa sistematicamente os dados da Agência Nacional de Mineração (ANM), autarquia do governo federal brasileiro responsável por autorizar e fiscalizar a atividade. O órgão disponibiliza diariamente uma atualização do seu registro de processos minerários, em formato aberto de dados geográficos. O Amazônia Minada, então, mapeia e alerta quando estes processos se sobrepõem (total ou parcialmente) ou estão contíguos a terras indígenas e unidades de conservação integral da Amazônia Legal.;11/2019;"InfoAmazonia; Hyury Potter; Eduardo Goulart de Andrade; Naira Hofmeister; Pedro Papini; Rodrigo Brabo; Fernando Eckstein; Juliana Mori; Stefano Wrobleski";;Brasil;;;contato@infoamazonia.org;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;"mineração; terras indígenas; reservas ambientais; reservas";https://github.com/InfoAmazonia/amazonia-minada;https://pbs.twimg.com/profile_images/1190113097819787265/qHMKKAOh_400x400.jpg;Processos Minerários - Sistema de Informações Geográficas da Mineração;Agência Nacional de Mineração;https://geo.anm.gov.br/portal/apps/webappviewer/index.html?id=6a8f5ccc4b6a4c2bba79759aa952d908;1;1;Terras indígenas;FUNAI;https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas;2;1;Unidades de conservação;Ministério do Meio Ambiente;http://mapas.mma.gov.br/i3geo/datadownload.htm;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Caso não foi informado pelo autor. Sabemos que os dados de processos minerários são consultados regularmente. Entretanto, foi chutado que os dados sobre unidades de conservação e sobre terras indígenas não são consultados regularmente. Além do código fonte cadastrado, o projeto tem mais dois: https://github.com/InfoAmazonia/amazonia-minada-back (backend) e https://github.com/InfoAmazonia/amazonia-minada-front (frontend).
Minha Receita;https://docs.minhareceita.org/;"Pela Lei de Acesso à Informação, os dados de CNPJ devem ser públicos e acessíveis por máquina. A Receita Federal oferece esses dados escondidos atrás de um CAPTCHA ou espalhados em diversos arquivos CSV separados, dificultando a consulta de todas as informações sobre um CNPJ qualquer. O código do ""Minha Receita"" torna esses dados ainda mais acessíveis ao consolidar todas as informações em um banco de dados único e ao fornecer uma uma API web para a consulta de dados de um CNPJ.";06/2019;Eduardo Cuducos;;Brasil;;;;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"cnpj; empresas; sócios; cadastro nacional de pessoa jurídica; api";https://github.com/cuducos/minha-receita;https://docs.minhareceita.org/minha-receita.svg;Cadastro Nacional de Pessoa Jurídica (CNPJ);Receita Federal;https://dados.gov.br/dados/conjuntos-dados/cadastro-nacional-da-pessoa-juridica---cnpj;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Caso de uso coletado pelo Ceweb. Se trata de uma API que disponibiliza os dados do CNPJ em uma estrutura mais amigável e acessível.
DataMPE Brasil Data Explorer;https://datampe.sebrae.com.br/data-explorer;Painel interativo no qual é possível consultar de maneira simples dados de diversos setores econômicos e regiões do Brasil. O objetivo é prover dados e informação que possam auxiliar no desenvolvimento de pequenos negócios no Brasil. O painel disponibiliza cerca de 24 bases de dados em variados temas.;10/2023;"SEBRAE; Datawheel";;Brasil;;;apoiodados@sebrae.com.br;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;"população; desenvolvimento; complexidade econômica; empresas; crédito; consumo; importações; exportações";https://;https://datampe.sebrae.com.br/images/logos/datampe.svg;RAIS - Relação Anual de Informações Sociais;Ministério da Economia;http://;2;1;Dados de crédito de Pessoa Jurídica do Banco Central;;https://dadosabertos.bcb.gov.br/;2;1;Chegada de Turistas Internacionais;Ministério do Turismo;https://dados.turismo.gov.br/pt_BR/dataset/chegada-de-turistas-internacionais;2;1;Estatísticas de Comércio Exterior;Ministério do Desenvolvimento, Indústria, Comércio e Serviços;https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta;1;1;Índice Sebrae de Desenvolvimento Econômico Local  - ISDEL;SEBRAE;https://www.isdel-sebrae.com/territorios;2;;;;;;;;;;;;;;;;;;;;;;;;;;O caso ainda utiliza muitas outras bases de dados, tanto abertas quando fechadas. Esse caso foi cadastrado pelo Ceweb.
Resultados eleitorais georreferenciados por municípios;https://centrodametropole.fflch.usp.br/pt-br/node/13051;Uma base cartográfica georreferenciada em formato shapefile contendo os resultados eleitorais do ano de 2022 dos 5568 municípios do Brasil, mais o Distrito Federal e o Distrito Estadual de Fernando de Noronha. Acompanha uma tabela em formato excel com os dados descritos. É possível saber como os cidadãos de cada município brasileiro votaram para presidente, senador, deputado federal, governador e deputado estadual ou distrital, por partido, votos brancos e nulos e abstenção.;02/2023;Centro de Estudos da Metropole;;Brasil;;;centrodametropole@usp.br;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;"eleições; votos; dados georreferenciados";https://;https://centrodametropole.fflch.usp.br/sites/centrodametropole.fflch.usp.br/files/inline-images/base-eleicoes.jpeg;Resultados eleitorais de 2022;TSE;https://dadosabertos.tse.jus.br/dataset/resultados-2022;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Caso informado pelo Ceweb. O caso apenas informa que utilizou dados do TSE e TREs. O dado exato utilizado foi inferido a partir das informações providas no novo conjunto de dados. Não foi informado de onde veio os dados georreferenciados.
Agenda Transparente;https://agendas.fiquemsabendo.com.br;O Agenda Transparente é uma plataforma de busca e monitoramento de compromissos das autoridades do Poder Executivo brasileiro.;05/2022;;;Brasil;;;agendatransparente@fiquemsabendo.com.br;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;N/A;https://agendas.fiquemsabendo.com.br/images/logo.svg;Agenda Pública de Autoridades do Poder Executivo Federal;CGU;https://dados.gov.br/dados/conjuntos-dados/agenda-publica-de-autoridades-do-poder-executivo-federal;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ILUMINANDO APP BR;https://www.iluminando.app.br/;São dados sobre demandas de manutenção em iluminação pública nos municípios brasileiros.;08/2022;Henrique Schiavo;;Brasil;;;operacao@iluminando.app.br;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;iluminação pública;https://;https://;São dados relacionados as demandas de manutenção de iluminação pública, georreferenciados.;HENRIQUE SCHIAVO;https://www.iluminando.app.br/;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Querido Diário;https://queridodiario.ok.org.br/;O projeto Querido Diário (QD) propõe classificar, contextualizar e expandir a informação contida nos diários oficiais do poder executivo municipal brasileiro, tornando-os disponíveis de forma a permitir sua visualização em formato aberto e amigável. A iniciativa inclui duas implementações técnicas principais: uma plataforma (https://queridodiario.ok.org.br/) para visualizar a informação contida nos diários em formato aberto e uma API aberta (https://queridodiario.ok.org.br/api/docs), que permite a integração das informações com outros sistemas e aplicações.;08/2019;Open Knowledge Brasil;;Brasil;;;queridodiario@ok.org.br;0;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;1;0;1;0;1;"Diário Oficial Municipal; dados abertos municipais;";https://github.com/okfn-brasil/querido-diario;https://raw.githubusercontent.com/okfn-brasil/querido-diario/main/docs/images/querido-diario-logo.png;Conteúdo completo dos diários oficiais de cada município disponível no Querido Diário em formato XML, agrupados por ano.;Diversas instituições;https://queridodiario.ok.org.br/dados;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;As fontes originais dos dados são as prefeituras das cidades cadastradas na plataforma. Esse número cresce continuamente, conforme novos códigos para coletar dados de mais municípios são integrados ao código do Querido Diário.
Diários do Clima;https://diariosdoclima.org.br;Plataforma capaz de agregar dados de políticas ambientais para auxiliar na pesquisa dos atos publicados por municípios brasileiros.;08/2021;"Agência Eco Nordeste; Open Knowledge Brasil; Agência Envolverde; InfoAmazonia; (((o)))eco; Projeto #Colabora";;Brasil;;;contato@ok.org.br;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;"Diário Oficial; dados abertos municipais; meio ambiente;";https://github.com/okfn-brasil/diarios-do-clima-frontend;https://;Conteúdo completo dos diários oficiais de cada município disponível no Querido Diário em formato XML, agrupados por ano.;Open Knowledge Brasil;https://queridodiario.ok.org.br/dados;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
